,Make,Model,Year,Distance,Engine_capacity(cm3),Price(euro),Vehicle_age,Distance_per_age,Style_Cabriolet,Style_Combi,Style_Coupe,Style_Crossover,Style_Hatchback,Style_Microvan,Style_Minivan,Style_Pickup,Style_Roadster,Style_SUV,Style_Sedan,Style_Universal,Fuel_type_Diesel,Fuel_type_Hybrid,Fuel_type_Metan/Propan,Fuel_type_Petrol,Fuel_type_Plug-in Hybrid,Transmission_Automatic,Transmission_Manual,Distance_per_year,Vehicle_age_sq,Log_Distance,Log_Vehicle_age,Engine_sq,Log_Engine,Age_x_Distance,Age_x_Engine,Distance_x_Engine,Distance_per_engine,Engine_per_age
105,0.046001028674296,0.011026102610261027,2013,178000,2000,9290,13,13692,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,12714.285714285714,169,12.08954444723597,2.6390573296152584,4000000,7.601402334583733,2314000,26000,356000000,88.95552223888056,142.85714285714286
106,0.10084222707985084,0.011154686897261155,2014,140000,800,11200,12,11667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,10769.23076923077,144,11.849404844423074,2.5649493574615367,640000,6.68586094706836,1680000,9600,112000000,174.78152309612983,61.53846153846154
107,0.11887617333161887,0.0018323260897518323,1993,300000,1800,1700,33,9091,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,8823.529411764706,1089,12.611541086966115,3.5263605246161616,3240000,7.496097345175956,9900000,59400,540000000,166.5741254858412,52.94117647058823
108,0.00703998971325704,0.0007715057220007715,2003,242927,1200,2650,23,10562,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10121.958333333334,529,12.400520382121968,3.1780538303479458,1440000,7.0909098220799835,5587321,27600,291512400,202.270607826811,50.0
109,0.021087823068021087,0.001993056448501993,2009,190000,1600,4700,17,11176,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10555.555555555555,289,12.154784614286667,2.8903717578961645,2560000,7.3783837129967145,3230000,27200,304000000,118.67582760774516,88.88888888888889
110,0.08303330333033303,0.0012858428700012858,2017,129000,1500,10990,9,14333,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12900.0,81,11.767575435251748,2.302585092994046,2250000,7.313886831633462,1161000,13500,193500000,85.94270486342438,150.0
111,0.008936607946508936,0.0038575286100038576,2012,193000,1800,10950,14,13786,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12866.666666666666,196,12.170450649220749,2.70805020110221,3240000,7.496097345175956,2702000,25200,347400000,107.16268739589117,120.0
112,0.016137328018516136,0.004178989327504179,2010,202000,2400,14750,16,12625,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,11882.35294117647,256,12.216027926866138,2.833213344056216,5760000,7.783640596221253,3232000,38400,484800000,84.13161182840483,141.1764705882353
113,0.04722257940079722,0.0013822810852513823,2013,209000,1500,5750,13,16077,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,14928.57142857143,169,12.250094315624496,2.6390573296152584,2250000,7.313886831633462,2717000,19500,313500000,139.2405063291139,107.14285714285714
114,0.038253825382538256,0.001317988941751318,2010,145000,1400,4750,16,9062,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8529.411764705883,256,11.884495917930655,2.833213344056216,1960000,7.244941546337007,2320000,22400,203000000,103.49750178443969,82.3529411764706
