,Make,Model,Year,Distance,Engine_capacity(cm3),Price(euro),Vehicle_age,Distance_per_age,Style_Cabriolet,Style_Combi,Style_Coupe,Style_Crossover,Style_Hatchback,Style_Microvan,Style_Minivan,Style_Pickup,Style_Roadster,Style_SUV,Style_Sedan,Style_Universal,Fuel_type_Diesel,Fuel_type_Hybrid,Fuel_type_Metan/Propan,Fuel_type_Petrol,Fuel_type_Plug-in Hybrid,Transmission_Automatic,Transmission_Manual,Distance_per_year,Vehicle_age_sq,Log_Distance,Log_Vehicle_age,Engine_sq,Log_Engine,Age_x_Distance,Age_x_Engine,Distance_x_Engine,Distance_per_engine,Engine_per_age
2417,0.015976597659765977,0.00038575286100038574,1994,318852,1600,2400,32,9964,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,9662.181818181818,1024,12.672485460512076,3.4965075614664802,2560000,7.3783837129967145,10203264,51200,510163200,199.158026233604,48.484848484848484
2418,0.020284171274270284,0.0026681239552526683,2008,225000,2000,6150,18,12500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,11842.105263157895,324,12.323860125621126,2.9444389791664403,4000000,7.601402334583733,4050000,36000,450000000,112.44377811094452,105.26315789473684
2419,0.11887617333161887,0.008454416870258455,2005,201290,1968,4500,21,9585,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,9149.545454545454,441,12.212506901239417,3.091042453358316,3873024,7.585281078639126,4227090,41328,396138720,102.22955815134586,89.45454545454545
2421,0.10084222707985084,0.014722900861514723,2006,205000,1400,6200,20,10250,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9761.904761904761,400,12.230770136157428,3.044522437723423,1960000,7.244941546337007,4100000,28000,287000000,146.32405424696645,66.66666666666667
2422,0.07191076250482191,0.029895846727529894,2007,305000,2200,9900,19,16053,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,15250.0,361,12.628070334272698,2.995732273553991,4840000,7.696667081526462,5795000,41800,671000000,138.57337573830077,110.0
2424,0.10084222707985084,0.021023530924521024,2007,270000,1364,5500,19,14211,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13500.0,361,12.506180941677357,2.995732273553991,1860496,7.21890970761906,5130000,25916,368280000,197.8021978021978,68.2
2425,0.08303330333033303,0.007297158287257298,2016,166000,1500,12490,10,16600,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,15090.90909090909,100,12.019749091416921,2.3978952727983707,2250000,7.313886831633462,1660000,15000,249000000,110.5929380413058,136.36363636363637
2426,0.08303330333033303,0.007297158287257298,2016,156000,1500,12490,10,15600,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,14181.818181818182,100,11.957617696467539,2.3978952727983707,2250000,7.313886831633462,1560000,15000,234000000,103.93071285809461,136.36363636363637
2427,0.08303330333033303,0.007297158287257298,2018,57000,1500,16990,8,7125,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6333.333333333333,64,10.950824090522445,2.1972245773362196,2250000,7.313886831633462,456000,12000,85500000,37.9746835443038,166.66666666666666
2428,0.046001028674296,0.008679439372508679,2017,149000,1500,8790,9,16556,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,14900.0,81,11.91170829631447,2.302585092994046,2250000,7.313886831633462,1341000,13500,223500000,99.26715522984676,150.0
2432,0.04323646650379324,0.003246753246753247,2017,148000,1600,15990,9,16444,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,14800.0,81,11.904974309480183,2.302585092994046,2560000,7.3783837129967145,1332000,14400,236800000,92.4422236102436,160.0
2438,0.10084222707985084,0.014722900861514723,2006,267000,1400,5850,20,13350,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,12714.285714285714,400,12.495007682693725,3.044522437723423,1960000,7.244941546337007,5340000,28000,373800000,190.5781584582441,66.66666666666667
2439,0.08303330333033303,0.012504821910762505,2011,259000,1500,6990,15,17267,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,16187.5,225,12.464587201678082,2.772588722239781,2250000,7.313886831633462,3885000,22500,388500000,172.55163224516988,93.75
2442,0.11887617333161887,0.008454416870258455,2015,146000,1600,7850,11,13273,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,12166.666666666666,121,11.891368749982085,2.4849066497880004,2560000,7.3783837129967145,1606000,17600,233600000,91.19300437226734,133.33333333333334
2443,0.07191076250482191,0.011058248682011058,2000,282000,2200,1650,26,10846,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,10444.444444444445,676,12.549665896013254,3.295836866004329,4840000,7.696667081526462,7332000,57200,620400000,128.12358019082237,81.48148148148148
2444,0.04722257940079722,0.01661951909476662,2009,255217,1400,3200,17,15013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,14178.722222222223,289,12.449873360880803,2.8903717578961645,1960000,7.244941546337007,4338689,23800,357303800,182.16773733047822,77.77777777777777
2445,0.10084222707985084,0.014722900861514723,1999,200000,1348,2700,27,7407,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7142.857142857143,729,12.206077645517674,3.332204510175204,1817104,7.207118856207756,5400000,36396,269600000,148.25796886582654,48.142857142857146
2446,0.021087823068021087,0.00032146071750032145,1995,125300,1600,1000,31,4042,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3915.625,961,11.738474121698282,3.4657359027997265,2560000,7.3783837129967145,3884300,49600,200480000,78.26358525921299,50.0
2447,0.0023145171660023146,0.0009000900090009,2003,153000,1600,4800,23,6652,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6375.0,529,11.938199736300925,3.1780538303479458,2560000,7.3783837129967145,3519000,36800,244800000,95.56527170518426,66.66666666666667
2448,0.046001028674296,0.0025073935965025072,2017,110000,1500,14850,9,12222,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,11000.0,81,11.608244735642321,2.302585092994046,2250000,7.313886831633462,990000,13500,165000000,73.28447701532312,150.0
2449,0.08303330333033303,0.029670824225279672,2012,189763,1500,6700,14,13554,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,12650.866666666667,196,12.153536473827343,2.70805020110221,2250000,7.313886831633462,2656682,21000,284644500,126.42438374417056,100.0
2450,0.08303330333033303,0.011411855471261412,2004,11111,1500,1650,22,505,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,483.0869565217391,484,9.31578088443418,3.1354942159291497,2250000,7.313886831633462,244442,33000,16666500,7.402398401065956,65.21739130434783
2451,0.07191076250482191,0.009258068664009259,2002,2600,2200,4100,24,108,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,104.0,576,7.8636512654486515,3.2188758248682006,4840000,7.696667081526462,62400,52800,5720000,1.1812812358019082,88.0
2452,0.07191076250482191,0.029895846727529894,2003,242927,2700,2500,23,10562,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,10121.958333333334,529,12.400520382121968,3.1780538303479458,7290000,7.901377353792616,5587321,62100,655902900,89.93965198074787,112.5
2453,0.11887617333161887,0.032306802108782305,2009,265404,2000,7490,17,15612,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,14744.666666666666,289,12.48901224019035,2.8903717578961645,4000000,7.601402334583733,4511868,34000,530808000,132.63568215892053,111.11111111111111
2454,0.06882473961681883,0.009997428314259997,1995,250000,1800,1300,31,8065,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,7812.5,961,12.429220196836383,3.4657359027997265,3240000,7.496097345175956,7750000,55800,450000000,138.811771238201,56.25
2456,0.008936607946508936,0.0038575286100038576,2012,138320,1800,11350,14,9880,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9221.333333333334,196,11.837332349943532,2.70805020110221,3240000,7.496097345175956,1936480,25200,248976000,76.80177679067185,120.0
2457,0.05799151343705799,0.014883631220264884,2017,161000,1968,23500,9,17889,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16100.0,81,11.989165855127435,2.302585092994046,3873024,7.585281078639126,1449000,17712,316848000,81.76739461655663,196.8
2458,0.07191076250482191,0.0006750675067506751,2012,226000,1500,7999,14,16143,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,15066.666666666666,196,12.328294703023394,2.70805020110221,2250000,7.313886831633462,3164000,21000,339000000,150.56628914057296,100.0
2459,0.11887617333161887,0.008197248296258198,2016,211000,2000,14999,10,21100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,19181.81818181818,100,12.259618151783465,2.3978952727983707,4000000,7.601402334583733,2110000,20000,422000000,105.44727636181909,181.8181818181818
2461,0.11887617333161887,0.02725986884402726,2009,110000,1400,6299,17,6471,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6111.111111111111,289,11.608244735642321,2.8903717578961645,1960000,7.244941546337007,1870000,23800,154000000,78.51534618129907,77.77777777777777
2462,0.05210878230680211,0.0011894046547511895,2016,134000,1500,12499,10,13400,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12181.818181818182,100,11.80560254159177,2.3978952727983707,2250000,7.313886831633462,1340000,15000,201000000,89.27381745502998,136.36363636363637
2463,0.046001028674296,0.008679439372508679,2012,133000,998,5599,14,9500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8866.666666666666,196,11.798111925972618,2.70805020110221,996004,6.906754778648554,1862000,13972,132734000,133.13313313313313,66.53333333333333
2464,0.04722257940079722,0.0011572585830011573,2012,133150,1500,5450,14,9511,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8876.666666666666,196,11.799239101540575,2.70805020110221,2250000,7.313886831633462,1864100,21000,199725000,88.70752831445702,100.0
2465,0.046001028674296,0.0022502250225022503,2011,260000,1800,4500,15,17333,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16250.0,225,12.468440756144114,2.772588722239781,3240000,7.496097345175956,3900000,27000,468000000,144.36424208772905,112.5
2466,0.04323646650379324,0.017744631606017743,2016,157600,1500,11650,10,15760,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14327.272727272728,100,11.967821801563451,2.3978952727983707,2250000,7.313886831633462,1576000,15000,236400000,104.99666888740839,136.36363636363637
2467,0.04162916291629163,0.011765462260511766,2004,240000,1800,1700,22,10909,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,10434.782608695652,484,12.388398368982115,3.1354942159291497,3240000,7.496097345175956,5280000,39600,432000000,133.25930038867295,78.26086956521739
2468,0.08303330333033303,0.011411855471261412,2012,190000,1461,7200,14,13571,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,12666.666666666666,196,12.154784614286667,2.70805020110221,2134521,7.2875606403097235,2660000,20454,277590000,129.95896032831737,97.4
2469,0.05210878230680211,0.014755046933264754,1994,11111,2000,2000,32,347,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,336.6969696969697,1024,9.31578088443418,3.4965075614664802,4000000,7.601402334583733,355552,64000,22222000,5.552723638180909,60.60606060606061
2470,0.04323646650379324,0.0015751575157515751,2012,190000,1461,5100,14,13571,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12666.666666666666,196,12.154784614286667,2.70805020110221,2134521,7.2875606403097235,2660000,20454,277590000,129.95896032831737,97.4
2473,0.046001028674296,0.008679439372508679,2015,176000,1500,7700,11,16000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,14666.666666666666,121,12.07824495582233,2.4849066497880004,2250000,7.313886831633462,1936000,16500,264000000,117.25516322451699,125.0
2474,0.04722257940079722,0.01661951909476662,2008,230000,1400,2999,18,12778,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,12105.263157894737,324,12.345838935721968,2.9444389791664403,1960000,7.244941546337007,4140000,25200,322000000,164.1684511063526,73.6842105263158
2475,0.10084222707985084,0.021023530924521024,2007,180000,1400,5999,19,9474,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9000.0,361,12.100717685412471,2.995732273553991,1960000,7.244941546337007,3420000,26600,252000000,128.4796573875803,70.0
2476,0.11887617333161887,0.032306802108782305,2015,190000,1400,11500,11,17273,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,15833.333333333334,121,12.154784614286667,2.4849066497880004,1960000,7.244941546337007,2090000,15400,266000000,135.61741613133475,116.66666666666667
2477,0.05210878230680211,0.02729201491577729,2006,205000,2500,4999,20,10250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,9761.904761904761,400,12.230770136157428,3.044522437723423,6250000,7.824445930877619,4100000,50000,512500000,81.9672131147541,119.04761904761905
2478,0.04162916291629163,0.013662080493763662,2000,254000,2500,4500,26,9769,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,9407.407407407407,676,12.445093483000798,3.295836866004329,6250000,7.824445930877619,6604000,65000,635000000,101.5593762495002,92.5925925925926
2479,0.031985341391281986,0.0018323260897518323,2011,180000,1400,7850,15,12000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11250.0,225,12.100717685412471,2.772588722239781,1960000,7.244941546337007,2700000,21000,252000000,128.4796573875803,87.5
2480,0.05210878230680211,0.0013501350135013501,2012,168000,1600,10499,14,12000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11200.0,196,12.031725210748633,2.70805020110221,2560000,7.3783837129967145,2352000,22400,268800000,104.93441599000624,106.66666666666667
2481,0.05210878230680211,0.02729201491577729,2006,203000,2499,5250,20,10150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,9666.666666666666,400,12.220966184120165,3.044522437723423,6245001,7.824046010856292,4060000,49980,507297000,81.2,119.0
2482,0.07191076250482191,0.029895846727529894,2014,82000,2000,17950,12,6833,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6307.692307692308,144,11.314486721293981,2.5649493574615367,4000000,7.601402334583733,984000,24000,164000000,40.97951024487756,153.84615384615384
2483,0.08303330333033303,0.0034074836055034076,2007,190000,1500,2799,19,10000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9500.0,361,12.154784614286667,2.995732273553991,2250000,7.313886831633462,3610000,28500,285000000,126.58227848101266,75.0
2484,0.04162916291629163,0.011765462260511766,2011,206000,2000,10750,15,13733,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,12875.0,225,12.235636302128867,2.772588722239781,4000000,7.601402334583733,3090000,30000,412000000,102.94852573713143,125.0
2485,0.038253825382538256,0.008357978655008359,2006,192000,2200,8800,20,9600,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,9142.857142857143,400,12.165255859329688,3.044522437723423,4840000,7.696667081526462,3840000,44000,422400000,87.23307587460245,104.76190476190476
2486,0.07191076250482191,0.0031503150315031502,2005,260000,1500,4750,21,12381,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11818.181818181818,441,12.468440756144114,3.091042453358316,2250000,7.313886831633462,5460000,31500,390000000,173.217854763491,68.18181818181819
2487,0.046001028674296,0.008679439372508679,2015,174000,1500,7690,11,15818,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,14500.0,121,12.066816325306588,2.4849066497880004,2250000,7.313886831633462,1914000,16500,261000000,115.92271818787475,125.0
2488,0.04162916291629163,0.013662080493763662,2005,224000,2400,7490,21,10667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,10181.818181818182,441,12.319405795112926,3.091042453358316,5760000,7.783640596221253,4704000,50400,537600000,93.29446064139941,109.0909090909091
2489,0.08303330333033303,0.0012858428700012858,2015,184000,1500,9999,11,16727,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,15333.333333333334,121,12.122696471358964,2.4849066497880004,2250000,7.313886831633462,2024000,16500,276000000,122.58494337108594,125.0
2490,0.10084222707985084,0.011154686897261155,2012,160000,1800,8900,14,11429,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10666.666666666666,196,11.982935344196433,2.70805020110221,3240000,7.496097345175956,2240000,25200,288000000,88.83953359244865,120.0
2491,0.021087823068021087,0.0049504950495049506,2017,97000,1700,16950,9,10778,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,9700.0,81,11.48247656671073,2.302585092994046,2890000,7.438971592395862,873000,15300,164900000,57.02527924750147,170.0
2492,0.04722257940079722,0.004371865758004372,2009,140000,1200,5100,17,8235,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7777.777777777777,289,11.849404844423074,2.8903717578961645,1440000,7.0909098220799835,2380000,20400,168000000,116.56952539550375,66.66666666666667
2493,0.10084222707985084,0.00941879902275942,2017,175000,2500,19990,9,19444,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17500.0,81,12.07254696717504,2.302585092994046,6250000,7.824445930877619,1575000,22500,437500000,69.97201119552179,250.0
2494,0.04722257940079722,0.003825382538253825,2012,162000,1500,6350,14,11571,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,10800.0,196,11.995357787034976,2.70805020110221,2250000,7.313886831633462,2268000,21000,243000000,107.92804796802132,100.0
2495,0.04722257940079722,0.010126012601260125,2016,179000,1200,8990,10,17900,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,16272.727272727272,100,12.095146671399466,2.3978952727983707,1440000,7.0909098220799835,1790000,12000,214800000,149.04246461282264,109.0909090909091
2496,0.10084222707985084,0.0010608203677510608,2015,60000,1800,12999,11,5455,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5000.0,121,11.002116507732017,2.4849066497880004,3240000,7.496097345175956,660000,19800,108000000,33.31482509716824,150.0
2497,0.046001028674296,0.0005143371480005143,2013,245000,1500,5500,13,18846,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,17500.0,169,12.409017571151187,2.6390573296152584,2250000,7.313886831633462,3185000,19500,367500000,163.22451698867422,107.14285714285714
2498,0.07191076250482191,0.0025395396682525396,2015,219200,2200,18800,11,19927,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,18266.666666666668,121,12.297744396089387,2.4849066497880004,4840000,7.696667081526462,2411200,24200,482240000,99.59109495683781,183.33333333333334
2499,0.031985341391281986,0.013662080493763662,2014,156700,2200,15990,12,13058,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,12053.846153846154,144,11.96209480994468,2.5649493574615367,4840000,7.696667081526462,1880400,26400,344740000,71.19491140390731,169.23076923076923
2501,0.009129484377009129,0.0009000900090009,2002,244000,1400,2100,24,10167,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,9760.0,576,12.404927602627597,3.2188758248682006,1960000,7.244941546337007,5856000,33600,341600000,174.16131334760885,56.0
2503,0.020284171274270284,0.0009322360807509322,2003,242927,2500,5100,23,10562,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,10121.958333333334,529,12.400520382121968,3.1780538303479458,6250000,7.824445930877619,5587321,57500,607317500,97.13194722111156,104.16666666666667
2504,0.046001028674296,0.011026102610261027,2015,165000,2000,13500,11,15000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,13750.0,121,12.013706813470414,2.4849066497880004,4000000,7.601402334583733,1815000,22000,330000000,82.45877061469265,166.66666666666666
2505,0.06882473961681883,0.00032146071750032145,1989,27000,2200,3500,37,730,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,710.5263157894736,1369,10.203629181337648,3.6375861597263857,4840000,7.696667081526462,999000,81400,59400000,12.26715129486597,57.89473684210526
2516,0.04323646650379324,0.0018966182332518966,2011,89000,1200,6900,15,5933,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5562.5,225,11.39640288460621,2.772588722239781,1440000,7.0909098220799835,1335000,18000,106800000,74.10491257285595,75.0
2517,0.11887617333161887,0.032306802108782305,2014,180000,1596,14000,12,15000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,13846.153846153846,144,12.100717685412471,2.5649493574615367,2547216,7.3758821482150125,2160000,19152,287280000,112.71133375078271,122.76923076923077
2518,0.004982641121254983,0.0026681239552526683,2006,39444,2200,8500,20,1972,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1878.2857142857142,400,10.58266257552919,3.044522437723423,4840000,7.696667081526462,788880,44000,86776800,17.92094502498864,104.76190476190476
2519,0.07191076250482191,0.003278899318503279,1994,260000,2000,4500,32,8125,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,7878.787878787879,1024,12.468440756144114,3.4965075614664802,4000000,7.601402334583733,8320000,64000,520000000,129.9350324837581,60.60606060606061
2520,0.04722257940079722,0.008711585444258712,2014,186000,1200,5450,12,15500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,14307.692307692309,144,12.133507329024972,2.5649493574615367,1440000,7.0909098220799835,2232000,14400,223200000,154.87094088259784,92.3076923076923
2521,0.06882473961681883,0.030442329947280442,2010,180898,1300,5300,16,11306,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,10641.058823529413,256,12.105694143452132,2.833213344056216,1690000,7.170888478512505,2894368,20800,235167400,139.04534973097617,76.47058823529412
2522,0.06882473961681883,0.030442329947280442,1998,170000,1400,1200,28,6071,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,5862.068965517241,784,12.04355959836804,3.367295829986474,1960000,7.244941546337007,4760000,39200,238000000,121.34189864382584,48.275862068965516
2523,0.11887617333161887,0.032306802108782305,2016,104000,2000,22000,10,10400,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,9454.545454545454,100,11.552155793461898,2.3978952727983707,4000000,7.601402334583733,1040000,20000,208000000,51.97401299350325,181.8181818181818
2524,0.04323646650379324,0.004178989327504179,1995,400000,2000,1900,31,12903,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,12500.0,961,12.899222326086994,3.4657359027997265,4000000,7.601402334583733,12400000,62000,800000000,199.9000499750125,62.5
2525,0.046001028674296,0.0025073935965025072,2017,147200,1500,13890,9,16356,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,14720.0,81,11.899554278732099,2.302585092994046,2250000,7.313886831633462,1324800,13500,220800000,98.06795469686875,150.0
2526,0.046001028674296,0.0025073935965025072,2017,158400,1500,14590,9,17600,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,15840.0,81,11.972885071473847,2.302585092994046,2250000,7.313886831633462,1425600,13500,237600000,105.5296469020653,150.0
2527,0.10084222707985084,0.011154686897261155,2008,230000,1500,5690,18,12778,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,12105.263157894737,324,12.345838935721968,2.9444389791664403,2250000,7.313886831633462,4140000,27000,345000000,153.23117921385742,78.94736842105263
2530,0.05799151343705799,0.014883631220264884,2016,145000,2000,20000,10,14500,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,13181.818181818182,100,11.884495917930655,2.3978952727983707,4000000,7.601402334583733,1450000,20000,290000000,72.46376811594203,181.8181818181818
2531,0.05210878230680211,0.014755046933264754,2007,298153,2000,6600,19,15692,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,14907.65,361,12.605365410526996,2.995732273553991,4000000,7.601402334583733,5664907,38000,596306000,149.00199900049975,100.0
2532,0.04323646650379324,0.017744631606017743,2007,212800,1500,6000,19,11200,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10640.0,361,12.268112735686705,2.995732273553991,2250000,7.313886831633462,4043200,28500,319200000,141.77215189873417,75.0
2533,0.11887617333161887,0.02725986884402726,2014,145000,1400,12000,12,12083,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11153.846153846154,144,11.884495917930655,2.5649493574615367,1960000,7.244941546337007,1740000,16800,203000000,103.49750178443969,107.6923076923077
2534,0.07191076250482191,0.029895846727529894,2014,225000,2000,13600,12,18750,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,17307.69230769231,144,12.323860125621126,2.5649493574615367,4000000,7.601402334583733,2700000,24000,450000000,112.44377811094452,153.84615384615384
2535,0.04323646650379324,0.017744631606017743,2018,153000,1600,17490,8,19125,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,17000.0,64,11.938199736300925,2.1972245773362196,2560000,7.3783837129967145,1224000,12800,244800000,95.56527170518426,177.77777777777777
2536,0.020284171274270284,0.006975697569756975,2014,205000,1998,13490,12,17083,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,15769.23076923077,144,12.230770136157428,2.5649493574615367,3992004,7.6004023345004,2460000,23976,409590000,102.5512756378189,153.69230769230768
2538,0.11887617333161887,0.02725986884402726,2006,225000,1600,4400,20,11250,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10714.285714285714,400,12.323860125621126,3.044522437723423,2560000,7.3783837129967145,4500000,32000,360000000,140.5371642723298,76.19047619047619
2541,0.031985341391281986,0.0018323260897518323,2011,191000,1400,8000,15,12733,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11937.5,225,12.160033942617156,2.772588722239781,1960000,7.244941546337007,2865000,21000,267400000,136.3311920057102,87.5
2543,0.06882473961681883,0.0005143371480005143,2011,114000,2400,8500,15,7600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7125.0,225,11.643962499267984,2.772588722239781,5760000,7.783640596221253,1710000,36000,273600000,47.480216576426486,150.0
2544,0.010897518323260897,0.001092966439501093,2019,29700,1400,11500,7,4243,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3712.5,49,10.298935994257638,2.0794415416798357,1960000,7.244941546337007,207900,9800,41580000,21.199143468950748,175.0
2546,0.016137328018516136,0.0009643821525009644,2013,255000,2400,12500,13,19615,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,18214.285714285714,169,12.449022745701502,2.6390573296152584,5760000,7.783640596221253,3315000,31200,612000000,106.20574760516452,171.42857142857142
2548,0.11887617333161887,0.032306802108782305,2014,170000,1783,8500,12,14167,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,13076.923076923076,144,12.04355959836804,2.5649493574615367,3179089,7.486613313139955,2040000,21396,303110000,95.2914798206278,137.15384615384616
2549,0.038253825382538256,0.002828854314002829,2004,252000,1300,3100,22,11455,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,10956.521739130434,484,12.437188334739655,3.1354942159291497,1690000,7.170888478512505,5544000,28600,327600000,193.69715603382014,56.52173913043478
2552,0.11887617333161887,0.004146843255754147,2002,235000,1900,4490,24,9792,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,9400.0,576,12.367345048436391,3.2188758248682006,3610000,7.550135342488429,5640000,45600,446500000,123.61914781693845,76.0
